,HSSU300203R(1971081),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Date :,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,2022/10/09
0,,,,,,,,,,,,,,,Page :,,,,,1 of 8
1,2022학년도 교과과정안내,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,
4,엘텍공과대학   학부/학과 : 차세대기술공학부   전공 : 식품생명공학   출력구분 : 주전공,,,,,,,,,,,,,,,,,,,
5,졸업학점-신입,,졸업학점-편입,,졸업평균평점,,영어강의이수학점,,,인문학관련교양이수학점,,,,,,SW교과목이수학점,타과인정제한학점,,,심화전공설치여부
6,137,,68.5,,1.7,,15,,,8,,,,,,6,9,,,미설치
7,,,,,,,,,,,,,,,,,,,,
8,구분,"영역명
(학수번호)
*:신설교과목",,교과목명,,,,"이수권장
학년","설정
학기",,시간,학점,"필수
여부","학사
편입생
제외여부",,개설학과,,"2022학년
2학기
개설여부",비고,
9,,,,,,,,,,,,,,,,,,,"(재):재수강인정과목
(선):선수과목
(타):타전공인정교과목",
98,,11295,,인공지능시대의과학과종교,,,,,1,,3,3,,,,기독교학과,,,,
99,,      #융복합교양(인간과사회),,[1과목 3학점 이수],,,,,,,,,,Y,,,,,,
100,,11360,,ICT융복합복지와법,,,,,"1,2",,3,3,,,,법학과(법학전문대학원),,,,
101,,11259,,SDGs시대글로벌보건협력:개발도상국의보건의료현황과국제사회의지원,,,,,"1,2",,3,3,,,,국제학과(국제대학원),,Y,,
102,,10011,,가족건강과간호,,,,,"1,2",,3,3,,,,간호,,Y,,
103,,11210,,교육커뮤니케이션의이해와실제,,,,,"1,2",,3,3,,,,국교,,Y,,
104,,10949,,국제구호와개발협력,,,,,"1,2",,3,3,,,,국제학과(국제대학원),,,,
105,,10914,,글로컬시대의아시아여성,,,,,"1,2",,3,3,,,,여성,,Y,,
106,,11260,,기업가정신과혁신,,,,,"1,2",,3,3,,,,경영학부,,Y,,
107,,10091,,노동과젠더,,,,,"1,2",,3,3,,,,여성,,Y,,
108,,11332,,도시⋅공간문화로읽는한국사,,,,,"1,2",,3,3,,,,사학과,,Y,,
109,,10886,,동양고전의현대적이해,,,,,"1,2",,3,3,,,,중어중문학과,,,,
110,,11292,,모방과인간,,,,,"1,2",,3,3,,,,독어독문학과,,,,
111,,11193,,법과젠더,,,,,"1,2",,3,3,,,,법학과(법학전문대학원),,,,
112,,10549,,북한정치의이해,,,,,"1,2",,3,3,,,,북한,,Y,,
113,,10548,,북한주민의문화와생활,,,,,"1,2",,3,3,,,,북한,,Y,,
114,,10929,,브레인스펙트럼,,,,,"1,2",,3,3,,,,생명,,,,
115,,10573,,생명윤리와법,,,,,"1,2",,3,3,,,,법학과(법학전문대학원),,Y,,
116,,10074,,성문화연구,,,,,"1,2",,3,3,,,,여성,,Y,,
117,,10081,,시민생활과법,,,,,"1,2",,3,3,,,,법학과(법학전문대학원),,Y,,
118,,10094,,여성학,,,,,"1,2",,3,3,,,,여성,,Y,,
119,,11089,,여행과지리:글로벌화의지역탐색,,,,,"1,2",,3,3,,,,사교,,,,
120,,10908,,영상이미지와젠더,,,,,"1,2",,3,3,,,,이화인문과학원,,,,
121,,10904,,우리사회의문제와쟁점찾기,,,,,"1,2",,3,3,,,,사회복지학과,,Y,,
122,,11358,,인간관계심리,,,,,"1,2",,3,3,,,,심리학과,,Y,,
123,,10109,,인간발달과가족,,,,,"1,2",,3,3,,,,아동,,Y,,
124,,11114,,인간은왜춤을추는가,,,,,"1,2",,3,3,,,,무용과,,Y,,
125,,11103,,인터넷과법,,,,,"1,2",,3,3,,,,법학과(법학전문대학원),,,,
126,,11359,,정신건강과행복,,,,,"1,2",,3,3,,,,심리학과,,Y,,
127,,11104,,죄와벌,,,,,"1,2",,3,3,,,,법학과(법학전문대학원),,Y,,
128,,10905,,지구촌의사회복지,,,,,"1,2",,3,3,,,,사회복지학과,,Y,,
